Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Excursion s3,Time,R_00,R_01,R_10,R_11
0.0,2.0,9.0,2.033061716549199,9.041804613016275,13.371151196456493,116.38779996124302,13.490196078431367,115.8235294117647,-6.745098039215684,-70.19607843137254,503.76470588235287,28.493429,-2.0,0.0,0.0,-1.6500000000000001
1.0,1.9996953903127825,9.034904812874567,2.030702580255059,9.042748885207743,13.658976234733828,116.01630955481751,13.513805291397976,115.82191678498512,-6.745098039215684,-70.19607843137254,503.8290830141344,0.0,-2.003500203085166,0.0,0.0,-1.6499770268252072
2.0,1.9987816540381915,9.069798993405001,2.028604890001203,9.04390612531272,13.950260910843822,115.64610371572238,13.537407272650235,115.81707939860854,-6.745098039215684,-70.19607843137254,503.88053941238485,0.015627,-2.0069993340266343,0.0,0.0,-1.6499081143377197
3.0,1.9972590695091477,9.104671912485887,1.998673090121077,9.08481061786273,14.244877270363155,115.27726730938794,14.073474247063812,115.4855298552236,-7.0,-70.0,504.16254216208586,0.421892,-2.010496321009116,0.0,0.0,-1.6497932836460514
4.0,1.9951281005196484,9.139512947488251,2.0105204115633066,9.112088569468645,14.542699204814118,114.90988442753192,14.216400655581426,115.15082252801966,-7.058823529411768,-69.80392156862746,503.2524920788229,5.312506,-2.0139900928740344,0.0,0.0,-1.649632569923877
5.0,1.992389396183491,9.174311485495316,2.061660045630331,9.15658756017167,14.84360242819041,114.54403840940182,14.241032325512714,114.48957096653656,-7.058823529411768,-69.41176470588235,500.6813808426844,29.640626,-2.0174795794476337,0.0,0.0,-1.6494260223992556
6.0,1.9890437907365466,9.209056926535307,1.957942685217252,9.191970845188386,15.147464452556543,114.17981186198529,15.216667948188467,114.47205712474535,-7.529411764705884,-69.41176470588235,503.5382323435468,3.750025,-2.0209637118687804,0.0,0.0,-1.6491737043395518
7.0,1.985092303282644,9.243738686810294,2.0091253540959744,9.237201967589415,15.45416456287775,113.81728667917518,15.242853066664406,113.80475371515382,-7.529411764705884,-69.01960784313725,500.94757406060853,25.265639,-2.024441422916366,0.0,0.0,-1.6488756930320583
8.0,1.9805361374831407,9.278346201920131,1.9066015328997725,9.27443931192063,15.763583791227218,113.45654405987653,16.223293178689655,113.74871350346201,-8.0,-69.0,503.664733549917,28.671896,-2.027911647336207,0.0,0.0,-1.6485320797603191
9.0,1.9753766811902755,9.312868930080462,1.9552190118547195,9.318209541579023,16.07560489050443,113.09766452504583,16.25098657733873,113.10785086699215,-8.0,-68.62745098039215,501.1843631999848,18.093956,-2.031373322167341,0.0,0.0,-1.6481429697761714
10.0,1.969615506024416,9.34729635533386,1.9545872649553453,9.321131975127901,16.39011230778992,112.74072793365345,16.27860309654098,113.0780330967895,-8.0,-68.62745098039215,501.14794167678093,0.010013,-2.0348253870676225,0.0,0.0,-1.647708482267504
11.0,1.963254366895328,9.381617990753089,2.0067645963572764,9.366854007249492,16.706992157450344,112.38581349756235,16.306134277108104,112.39913825724884,-8.0,-68.23529411764706,498.5149558603197,0.243014,-2.038266784638513,0.0,0.0,-1.6472287503217502
12.0,1.9562952014676114,9.41582338163552,1.971003191604333,9.381276757555284,17.02613219410005,112.03299979531742,16.653837797481827,112.36332636627881,-8.156862745098042,-68.23529411764706,499.4148188575607,6.986408,-2.041696460748973,0.0,0.0,-1.6467039208851206
13.0,1.9487401295704705,9.44990210868773,1.9517354263411741,9.449309559289965,17.347421785515287,111.68236478484059,17.323313208211935,111.6789053984878,-8.47058823529412,-67.84313725490196,498.685561218587,30.281691,-2.045113364858353,0.0,0.0,-1.6461341547175947
14.0,1.940591452551993,9.483843791199336,1.9518829344159156,9.453038853363577,17.670751885590796,111.33398581502917,17.352139344041067,111.63721386566895,-8.47058823529412,-67.84313725490196,498.605273494799,0.026987,-2.048516450338181,0.0,0.0,-1.6455196263436753
15.0,1.9318516525781366,9.517638090205041,1.9685012641196904,9.510312251674382,17.996015007419274,110.9879396362546,17.702706998212026,110.94745495208483,-8.627450980392158,-67.45098039215686,496.89794080297537,14.231812,-2.051904674792757,0.0,0.0,-1.644860523998932
16.0,1.9225233918766378,9.551274711633999,1.895640652265877,9.536161319888318,18.323105196568584,110.6443024097616,18.376594356324922,110.90000491233064,-8.941176470588236,-67.45098039215686,498.7298027182973,0.010986,-2.055277000378445,0.0,0.0,-1.6441570495723439
