Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Excursion s3,Time
0.0,2.0,9.0,2.031067705253542,8.859536251649748,13.371151196456493,116.38779996124302,12.0,117.76470588235294,0.0,67.84313725490196,4.0,1.955111
1.0,1.9996953903127825,9.034904812874567,1.8854201837129363,8.97978885493464,13.658976234733828,116.01630955481751,14.0,117.0,7.0,78.0,0.0,0.871049
2.0,1.9987816540381915,9.069798993405001,1.8854201837129363,8.97978885493464,13.950260910843822,115.64610371572238,14.0,117.0,7.0,78.0,0.0,0.012003
3.0,1.9972590695091477,9.104671912485887,1.8854201837129363,8.97978885493464,14.244877270363155,115.27726730938794,14.0,117.0,7.0,78.0,0.0,0.007001
4.0,1.9951281005196484,9.139512947488251,1.7910682356012297,9.05796277303761,14.542699204814118,114.90988442753192,15.294117647058824,116.47058823529412,4.11764705882353,71.37254901960785,2.3529411764705883,0.019013
5.0,1.992389396183491,9.174311485495316,1.7910682356012297,9.05796277303761,14.84360242819041,114.54403840940182,15.294117647058824,116.47058823529412,4.11764705882353,71.37254901960785,2.3529411764705883,0.007001
6.0,1.9890437907365466,9.209056926535307,1.7950234079234217,9.28433390770648,15.147464452556543,114.17981186198529,17.058823529411764,113.99999999999999,6.588235294117647,72.54901960784314,1.2941176470588236,0.65305
7.0,1.985092303282644,9.243738686810294,1.7950234079234217,9.28433390770648,15.45416456287775,113.81728667917518,17.058823529411764,113.99999999999999,6.588235294117647,72.54901960784314,1.2941176470588236,0.005989
8.0,1.9805361374831407,9.278346201920131,1.7950234079234217,9.28433390770648,15.763583791227218,113.45654405987653,17.058823529411764,113.99999999999999,6.588235294117647,72.54901960784314,1.2941176470588236,0.007005
9.0,1.9753766811902755,9.312868930080462,1.7950234079234217,9.28433390770648,16.07560489050443,113.09766452504583,17.058823529411764,113.99999999999999,6.588235294117647,72.54901960784314,1.2941176470588236,0.026003
10.0,1.969615506024416,9.34729635533386,1.7950234079234217,9.28433390770648,16.39011230778992,112.74072793365345,17.058823529411764,113.99999999999999,6.588235294117647,72.54901960784314,1.2941176470588236,0.006999
11.0,1.963254366895328,9.381617990753089,1.7950234079234217,9.28433390770648,16.706992157450344,112.38581349756235,17.058823529411764,113.99999999999999,6.588235294117647,72.54901960784314,1.2941176470588236,0.006004
12.0,1.9562952014676114,9.41582338163552,1.7950234079234217,9.28433390770648,17.02613219410005,112.03299979531742,17.058823529411764,113.99999999999999,6.588235294117647,72.54901960784314,1.2941176470588236,0.01001
13.0,1.9487401295704705,9.44990210868773,2.0027407159524957,9.449879169450906,17.347421785515287,111.68236478484059,17.0,111.5,1.0,61.0,5.0,0.109006
