Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Excursion s3,Time,R_00,R_01,R_10,R_11
0.0,2.0,9.0,1.8735787365562917,8.96946799749273,13.371151196456493,116.38779996124302,14.0,117.15,-7.0,-71.0,510.6,4.598256,-2.0,0.0,0.0,-1.6500000000000001
1.0,1.9996953903127825,9.034904812874567,1.8711544089485734,8.970381101362713,13.658976234733828,116.01630955481751,14.024501421596161,117.14836890458972,-7.0,-71.0,510.66697988314735,18.059056,-2.003500203085166,0.0,0.0,-1.6499770268252072
2.0,1.9987816540381915,9.069798993405001,1.91039548240115,9.022003305750886,13.950260910843822,115.64610371572238,14.167054122540955,116.46410218854493,-7.058823529411768,-70.58823529411765,508.3575711218026,1.097078,-2.0069993340266343,0.0,0.0,-1.6499081143377197
3.0,1.9972590695091477,9.104671912485887,1.998673090121077,9.08481061786273,14.244877270363155,115.27726730938794,14.073474247063812,115.4855298552236,-7.0,-70.0,504.16254216208586,2.935173,-2.010496321009116,0.0,0.0,-1.6497932836460514
4.0,1.9951281005196484,9.139512947488251,1.9969836653919546,9.086413780254075,14.542699204814118,114.90988442753192,14.09793065011824,115.47427989467138,-7.0,-70.0,504.19091152904025,0.006,-2.0139900928740344,0.0,0.0,-1.649632569923877
5.0,1.992389396183491,9.174311485495316,2.1147389579284743,9.19866822850209,14.84360242819041,114.54403840940182,14.241032325512714,113.84273723226237,-7.058823529411768,-69.01960784313727,498.0940459055876,6.451363,-2.0174795794476337,0.0,0.0,-1.6494260223992556
6.0,1.9890437907365466,9.209056926535307,2.1135131484354717,9.200700666116447,15.147464452556543,114.17981186198529,14.265626201426691,113.82532233872986,-7.058823529411768,-69.01960784313727,498.09816795919954,0.011002,-2.0209637118687804,0.0,0.0,-1.6491737043395518
7.0,1.985092303282644,9.243738686810294,1.9077383095272413,9.271920283762308,15.45416456287775,113.81728667917518,16.195531383330927,113.77242281921203,-8.0,-69.0,503.6762854268409,3.26419,-2.024441422916366,0.0,0.0,-1.6488756930320583
8.0,1.9805361374831407,9.278346201920131,1.9066015328997725,9.27443931192063,15.763583791227218,113.45654405987653,16.223293178689655,113.74871350346201,-8.0,-69.0,503.664733549917,0.005984,-2.027911647336207,0.0,0.0,-1.6485320797603191
9.0,1.9753766811902755,9.312868930080462,1.9057228428689506,9.277166848948156,16.07560489050443,113.09766452504583,16.25098657733873,113.72186491455582,-8.0,-69.0,503.64041939023946,0.006998,-2.031373322167341,0.0,0.0,-1.6481429697761714
